Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,latitude,longitude,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
231526,9/12/2020 22:02,2.13161E+14,fraud_Nader-Heller,misc_net,964.3,Catherine,Weber,F,74890 Rodriguez Springs Apt. 540,West Henrietta,NY,14586,43.0397,-77.6871,10256,"Teacher, primary school",6/24/1968,525a51ad3b16f8fe070d8c90eee8f43d,1379023352,42.818239,-77.269555,1
188663,8/25/2020 23:28,3.50137E+15,fraud_Boyer PLC,shopping_net,976.1,Danielle,Allen,F,87198 Macias Drive Suite 389,Loving,NM,88256,32.274,-104.0914,1925,Educational psychologist,5/26/1952,f8ae72355287d080d5393e9cad43f186,1377473280,33.103591,-104.068132,1
85700,7/20/2020 22:14,4.23E+18,"fraud_Ferry, Lynch and Kautzer",misc_net,866.99,Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,12/3/1966,5f9ddb00cb52b8b3570209af2dd0f7a2,1374358493,20.990102,-154.986614,1
474087,12/14/2020 3:08,6.01149E+15,"fraud_Robel, Cummerata and Prosacco",gas_transport,9.43,Gary,Barnes,M,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,6/11/1986,cede37d5ddf96277b1a15c258e26ba1d,1386990528,32.988521,-93.042421,1
327423,10/24/2020 22:54,4.88341E+12,fraud_Mante Group,misc_net,832.55,Rachel,Williams,F,6386 Bailey Hill Apt. 421,Seattle,WA,98118,47.5412,-122.275,837792,Systems developer,12/23/1936,b0f9476adc02a9b53a9aa528545e0910,1382655286,46.679249,-123.271805,1
213879,9/5/2020 3:05,3.55041E+15,fraud_Koepp-Parker,grocery_pos,244.56,Morgan,James,F,742 Sellers Ferry,Lexington,KY,40502,38.0174,-84.4854,296965,Software engineer,12/30/1962,5a02adb898b82b9ba7db627f5b6ea343,1378350314,37.36752,-84.737439,1
58565,7/11/2020 22:01,5.01883E+11,"fraud_Lehner, Reichert and Mills",misc_pos,8.08,Melissa,Phillips,F,5069 Scott Pass Apt. 654,Meadville,MS,39653,31.4285,-90.8578,2799,"Therapist, horticultural",1/21/1961,496f769356c3c6fbbc96fe538a0598c9,1373580082,31.941283,-90.709249,1
42415,7/6/2020 2:47,4.46E+18,fraud_Bahringer-Larson,grocery_net,15.85,Kimberly,Bush,F,6027 Scott Meadows Suite 494,Dell City,TX,79837,31.924,-105.2099,579,Hydrogeologist,11/26/1945,e71078f7f78f514ac5ceefada73256ed,1373078871,32.099046,-105.727073,1
359538,11/8/2020 1:34,6.30469E+11,fraud_McDermott-Weimann,grocery_pos,307.01,Meredith,Ayala,F,7107 Henderson Station,Cascade Locks,OR,97014,45.671,-121.8686,1288,Barrister,5/1/1936,722c931d9a72cc6bcfea9cb284b0a11c,1383874448,44.96682,-121.143767,1
361853,11/8/2020 22:05,4.16939E+12,"fraud_Schmeler, Bashirian and Price",shopping_net,1104.78,Marcia,Molina,F,6744 Jimmy Extensions,Port Gibson,NY,14537,43.033,-77.1575,207,Database administrator,9/27/1962,3c6666bcfe64c7c554a4f9ce22c25b21,1383948337,43.463203,-77.780079,1
129504,8/4/2020 23:29,4.65388E+15,"fraud_Konopelski, Schneider and Hartmann",food_dining,127.66,Monica,Tucker,F,302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",6/6/1999,a8738ad969a14c55629f3bb103358845,1375658986,37.553385,-86.986312,1
521477,12/24/2020 6:40,4.39E+18,fraud_Bednar Group,misc_net,9.47,Kyle,Simmons,M,8149 Harris Divide,Oklahoma City,OK,73134,35.6174,-97.5583,640470,Advertising copywriter,6/24/1966,759df4900e13c19e27ccc2dcaa0b1074,1387867214,34.99325,-96.918747,0
101773,7/26/2020 23:21,3.80144E+13,"fraud_Rodriguez, Yost and Jenkins",misc_net,896.46,Sonya,Jensen,F,4470 Jillian Courts,Adams,WI,53910,43.8967,-89.8219,3508,Sport and exercise psychologist,8/11/1946,7dc023dadbe4e76928736388b794adb9,1374880868,43.418686,-89.40797,1
81835,7/19/2020 23:01,2.45408E+15,fraud_Erdman-Ebert,personal_care,22.66,Robert,Andrade,M,27720 Martin Hills,Remer,MN,56672,47.0874,-93.9196,2097,Insurance risk surveyor,10/27/1987,2a6ccf783ea7c6ccbc9c43112ff86860,1374274900,46.385726,-93.212891,1
111635,7/30/2020 0:52,4.35E+18,fraud_Luettgen PLC,gas_transport,7.84,Joseph,Bartlett,M,610 Pacheco Parkway,Falls Church,VA,22046,38.8856,-77.1802,116155,Armed forces training and education officer,5/9/1932,7a4349b621986d6d52a1495c71ab55d6,1375145545,39.565925,-76.370043,1
118262,8/2/2020 0:30,3.57779E+15,fraud_Medhurst PLC,shopping_net,934.89,Mary,Humphrey,F,9853 Flynn Hollow Apt. 602,Reynolds,ND,58275,47.7068,-97.2092,733,Visual merchandiser,11/12/1994,4a3a2c951f97b8cb65a40cc8b0dd4b43,1375403435,47.985204,-97.13412,1
135676,8/7/2020 22:59,4.51835E+15,fraud_Herman Inc,misc_pos,7.8,Christopher,Gregory,M,9579 Porter Tunnel,Wauchula,FL,33873,27.5517,-81.8074,14742,Teaching laboratory technician,2/26/1993,a2be7e96f8b9302f6ea62a4bf0aeaffa,1375916359,27.908464,-81.273777,1
128904,8/4/2020 20:37,4.6817E+12,"fraud_Reichert, Huels and Hoppe",shopping_net,2.43,Joseph,Gonzalez,M,319 Wendy Fort Suite 179,Murfreesboro,TN,37132,35.8596,-86.421,158701,"Journalist, newspaper",3/6/1978,ab4b0e85242bef2fde4273524d617fd2,1375648621,36.185298,-85.588886,0
257607,9/23/2020 15:53,5.58056E+15,fraud_Bednar Inc,travel,442.23,Stanley,Dickson,M,078 Alex Fields,Smock,PA,15480,39.9961,-79.7678,1946,Charity fundraiser,6/21/1990,e928fd623977e73de32d79689791f20f,1379951619,40.726323,-79.111039,0
433346,12/5/2020 8:26,6.50698E+15,fraud_Dach-Nader,misc_net,26.35,Alice,Kemp,F,057 Martinez Radial,Texarkana,AR,71854,33.431,-93.8765,36438,Surgeon,4/15/1985,c8a110de1e00c3b0137a748525505509,1386231981,32.623222,-94.834639,0
269269,9/28/2020 21:41,4.04851E+15,"fraud_Schroeder, Wolff and Hermiston",travel,1.36,Cheryl,Melton,F,5053 Bell Crescent Apt. 255,Fullerton,NE,68638,41.366,-98.0054,1749,"Surveyor, mining",5/7/1973,09d26f6c13500577db7ca7fc13dba042,1380404516,41.101042,-98.63842,0
368573,11/10/2020 23:20,4.10316E+12,fraud_Rempel Inc,shopping_net,1084.29,Christopher,Adkins,M,3512 Knight Center,Lorenzo,TX,79343,33.6666,-101.5277,1571,Petroleum engineer,6/27/1982,b372d5ab8219afcf76e2a9f3d15e85aa,1384125632,33.13914,-101.925095,1
385968,11/18/2020 23:37,4.0666E+12,fraud_Mohr-Bayer,shopping_net,902.81,Jamie,Olson,F,3423 Michael Canyon Suite 276,River,KY,41254,37.8795,-82.7251,571,Quarry manager,3/7/1931,096e5bace63bfaddc606e1a1a44c5320,1384817876,37.426532,-81.923358,1
163480,8/17/2020 15:50,4.70787E+15,fraud_Kris-Kertzmann,travel,1.13,Susan,Shah,F,9016 Jordan Bypass Apt. 516,Cranks,KY,40820,36.7558,-83.1838,581,"Psychologist, counselling",2/4/1967,065f85048eb7a2029d036bfba3549cc1,1376754640,37.445188,-82.319132,0
126229,8/4/2020 3:47,4.72724E+15,"fraud_Huel, Hammes and Witting",grocery_pos,339.09,Mary,Lewis,F,118 Justin Extension,Bay Minette,AL,36507,30.8635,-87.7644,19090,Science writer,5/30/1929,b48f5a48eea71047e62b27c41d823162,1375588070,30.805781,-88.713412,1
228139,9/11/2020 4:11,3.57579E+15,fraud_Brekke and Sons,gas_transport,51.27,Lindsay,Wilson,F,7618 Gonzales Mission,Centerview,MO,64019,38.7897,-93.8702,2368,Electronics engineer,7/17/1989,3258ccf18c185ff53198338043c11dac,1378872705,39.047128,-93.141,0
285616,10/5/2020 23:42,3.00115E+13,fraud_Shields-Wunsch,health_fitness,19,Lisa,Garcia,F,213 Gill Expressway,Chatham,NY,12037,42.3496,-73.5873,4015,Human resources officer,10/14/1971,05e9929fea39c6b379c8fb66c14815b4,1381016550,42.762684,-73.491773,1
163741,8/17/2020 17:06,4.17069E+15,"fraud_Hoppe, Harris and Bednar",entertainment,46.31,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,5/10/1993,8372c7f053be3d31cf84806a352a8094,1376759194,35.804587,-97.990158,0
36187,7/3/2020 23:43,3.58926E+15,fraud_Gerlach Inc,shopping_net,840.53,David,Miller,M,622 Bradley Knoll Apt. 758,Hancock,MD,21750,39.6991,-78.1762,3766,Press photographer,2/14/1984,f441409c4697dcfc08f7e217ecaa7166,1372895025,40.146169,-78.837614,1
164559,8/17/2020 21:10,3.53113E+15,"fraud_Okuneva, Schneider and Rau",shopping_pos,1.09,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,5733,43.8065,-73.0882,5895,"Scientist, marine",7/13/1975,48706e4c6a391a25bda3aace0704a713,1376773827,42.901849,-72.168085,0
297808,10/11/2020 20:09,5.45671E+15,"fraud_Mosciski, Ziemann and Farrell",shopping_net,952.33,Pamela,Matthews,F,36659 Smith Club Apt. 080,Llano,NM,87543,36.1486,-105.6648,247,Architectural technologist,10/24/1961,45c67b5ae130e9c063ef2b82ff9cb9e0,1381522143,36.869406,-105.825118,1
362088,11/8/2020 23:42,2.47509E+15,fraud_Rempel Inc,shopping_net,965.58,John,Miller,M,153 Mccullough Springs Apt. 857,Lamberton,MN,56152,44.2378,-95.2739,1507,Land/geomatics surveyor,10/12/1993,48f5b1ba10571153e5c9d44a04c82368,1383954136,44.768283,-95.633459,1
256626,9/22/2020 23:13,4.17069E+15,"fraud_Welch, Rath and Koepp",entertainment,467.84,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,5/10/1993,658273c7693593c31ba6fb00d00bfae8,1379891615,36.379999,-97.934141,1
370835,11/12/2020 12:34,3.02429E+13,fraud_Kuhic LLC,shopping_net,905.67,Dalton,Jones,M,3304 Hernandez Run,Afton,MI,49705,45.3637,-84.4695,937,Technical brewer,4/6/1958,b53ab2be130bb565eb8466d2c8387acc,1384259643,44.673034,-83.790411,1
272053,9/29/2020 19:51,3.5492E+15,fraud_Goyette-Gerhold,kids_pets,65.41,Larry,Williams,M,6274 David Oval Suite 725,Scarborough,ME,4074,43.5835,-70.3457,18760,Make,4/2/1933,0ea60b128034aca97318e80409fda9fb,1380484314,44.45014,-71.184168,0
177799,8/23/2020 1:20,5.77589E+11,fraud_Kiehn Inc,grocery_pos,323.12,James,Strickland,M,25454 Leonard Lake,Spring Church,PA,15686,40.6153,-79.4545,972,Public relations account executive,10/23/1997,574e3f5a66e2fd618bf1434ef2fba3b4,1377220829,39.693545,-78.594685,1
